href,accessible,found_robots,found_sitemaps,time_accessed,ignore
https://www.flickr.com/,1,https://www.flickr.com/robots.txt,"['https://www.flickr.com/sitemap/index/users/sitemap-index-users-00000000.xml.gz', 'https://www.flickr.com/sitemap/index/tags/sitemap-index-tags-00000000.xml.gz', 'https://www.flickr.com/sitemap/index/sets/sitemap-index-sets-00000000.xml.gz', 'https://www.flickr.com/sitemap/index/photos/sitemap-index-photos-00000000.xml.gz', 'https://www.flickr.com/sitemap/index/groups/sitemap-index-groups-00000000.xml.gz']",2022-06-07 10:30:09.833298,0
https://in.pinterest.com/,1,https://in.pinterest.com/robots.txt,"['https://in.pinterest.com/v3_sitemaps/readable_pin_url_sitemap_in.pinterest.com.xml', 'https://in.pinterest.com/v3_sitemaps/pin_image_sitemap_in.pinterest.com.xml', 'https://in.pinterest.com/v3_sitemaps/promoted_idea_pin_sitemap_in.pinterest.com.xml']",2022-06-07 10:30:10.581134,0
https://www.bing.com/images/trending?FORM=ILPTRD,1,https://www.bing.com/robots.txt,"['http://cn.bing.com/dict/sitemap-index.xml', 'https://www.bing.com/api/maps/mapcontrol/isdk/sitemap.xml', 'https://www.bing.com/travelguide/sitemaps/sitemap.xml', 'https://www.bing.com/maps/sitemap.xml', 'https://www.bing.com/sitemap/shop/sitemap.xml']",2022-06-07 10:30:10.873709,0
https://www.google.com/imghp?hl=en,1,https://www.google.com/robots.txt,['https://www.google.com/sitemap.xml'],2022-06-07 10:30:11.103016,0
https://tineye.com/,1,https://tineye.com/robots.txt,,2022-06-07 10:30:11.426082,0
https://commons.wikimedia.org/wiki/Main_Page,1,https://commons.wikimedia.org/robots.txt,,2022-06-07 10:30:11.605162,0
https://youtube.com,1,https://youtube.com/robots.txt,"['https://www.youtube.com/sitemaps/sitemap.xml', 'https://www.youtube.com/product/sitemap.xml']",2022-06-07 10:30:12.233562,0
https://www.dailymotion.com/in,1,https://www.dailymotion.com/robots.txt,"['https://www.dailymotion.com/map-videos-latest.xml', 'https://www.dailymotion.com/map-videos-default-strategic.xml', 'https://www.dailymotion.com/map-videos-default-partner.xml', 'https://www.dailymotion.com/map-videos-default-user.xml', 'https://www.dailymotion.com/map-topics-strategic.xml', 'https://www.dailymotion.com/map-channels-strategic.xml', 'https://www.dailymotion.com/map-pages-default.xml', 'https://www.dailymotion.com/map-videos-default-heuristic.xml', 'https://www.dailymotion.com/map-videos-latest-heuristic.xml']",2022-06-07 10:30:12.734535,0
https://vimeo.com/,1,https://vimeo.com/robots.txt,"['https://vimeo.com/sitemap/master.xml.gz', 'https://vimeo.com/sitemap/latest.xml.gz', 'https://vimeo.com/sitemap/stock.xml.gz', 'https://vimeo.com/sitemap/static-sitemap.xml', 'https://vimeo.com/blog/sitemap_index.xml']",2022-06-07 10:30:13.129346,0
https://lbry.com/,1,https://lbry.com/robots.txt,,2022-06-07 10:30:13.438039,0
https://joinpeertube.org/,1,,,2022-06-07 10:30:14.449532,0
https://d.tube/,0,,,2022-06-07 10:30:14.535807,0
https://bittube.tv/,1,https://bittube.tv/robots.txt,,2022-06-07 10:30:17.299715,0
https://www.bitchute.com/,1,https://www.bitchute.com/robots.txt,,2022-06-07 10:30:18.088497,0
https://www.twitch.tv/,1,https://www.twitch.tv/robots.txt,['https://www.twitch.tv/sitemapv2_index.xml.gz'],2022-06-07 10:30:18.263732,0
https://www.metacafe.com/,1,https://www.metacafe.com/robots.txt,,2022-06-07 10:30:20.316803,0
https://archive.org/,1,https://archive.org/robots.txt,['https://archive.org/sitemap/sitemap.xml'],2022-06-07 10:30:21.284901,0
